park_name,park_code,region,state,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mount Rainier,MORA,Pacific West ,WA,1516703,1268256,1233671,1007300,1106306,1152411,1165640,1298457,1292027,1255618,1354302,1327101,1549412,1522057,1365213,1426244,1438227,1338961,1315773,1353793,1291397,1344833,1301103,1310390,1262351,1217750,1173897,1113601,1047685,1163227,1151654,1191754,1038229,1049178,1148552,1264259,1237231,1356913,1415867,1518491,1501621
North Cascades,NOCA,Pacific West ,WA,742997,796079,829026,857016,858041,637836,629234,683056,651606,605967,391433,456444,22796,20295,21378,19323,65984,27910,27203,32753,21488,25704,27739,20691,20724,16912,18686,19167,19534,18725,26972,24659,19208,26935,21623,23865,20677,28646,30326,30085,38208
Olympic,OLYM,Pacific West ,WA,2078843,2032418,2306032,2478739,2410722,2759011,2532145,2940034,2822850,2959122,2737611,2794903,2759673,3030195,2679598,3381573,3658615,3348723,3846709,3577007,3364266,3327722,3416069,3691310,3225327,3073722,3142774,2749197,2988686,3081451,3276459,2844563,2966502,2824908,3085340,3243872,3263761,3390221,3401996,3104455,3245806
Petrified Forest,PEFO,Intermountain ,AZ,671583,683121,747832,710619,708512,714761,736659,761257,758082,857031,824141,844592,874521,930031,936429,922927,935065,829495,823266,816506,666978,605192,583904,571586,586245,580000,598378,581681,563590,543714,631613,664725,614054,664857,644648,836799,793225,643274,627757,644922,643588
Pinnacles,PINN,Pacific West ,CA,153717,163626,155205,171026,170631,166258,191578,198236,204705,212094,218601,214268,192610,191683,194757,172642,177527,164465,171971,94639,164854,162110,178243,162266,162791,157397,170994,158824,161019,166988,171112,246575,393219,224476,237677,196635,206533,215555,233334,222152,177224
Redwood,REDW,Pacific West ,CA,413917,471710,549461,467126,473711,467155,505791,567849,610897,677135,654115,348458,366280,387781,421027,475033,552464,426938,382488,383188,369726,383253,388352,404789,408126,392029,394144,383780,385171,396899,444426,418820,380167,352517,393364,429166,527143,536297,445000,482536,504722
Rocky Mountain,ROMO,Intermountain ,CO,2568530,2641937,2911242,2564116,2599006,2231448,2248854,2408234,2531864,2544211,2502915,2647323,2751781,2788868,2780342,2968450,2878169,2923755,2965354,3035422,3186323,3185392,3139685,2988475,3067256,2781899,2798368,2743676,2895383,2757390,2822325,2955821,3176941,3229617,2991141,3434751,4155916,4517585,4437215,4590493,4670053
Saguaro,SAGU,Intermountain ,AZ,566486,611317,470598,566807,634688,699292,636711,613651,689933,675397,706191,702328,679034,810059,828267,768685,732813,671643,739410,716160,749014,765195,725874,615045,643697,651464,727208,619983,658477,699137,665234,717614,610045,634286,678261,673572,753446,820426,964760,957405,1020226
Sequoia,SEQU,Pacific West ,CA,799576,862397,1083002,1020500,854233,979632,939468,1056527,1139389,1031129,1056020,1063538,1120278,961095,1066552,1034133,844582,838060,1008931,861303,873229,838947,870327,920292,979297,1000177,1004843,954507,979537,930011,965170,1002979,1006583,1106584,909274,1039137,1097464,1254688,1291256,1229594,1246053
Shenandoah,SHEN,Northeast ,VA,1521451,1699228,1819546,1751972,1768378,1869307,1933085,1843985,1767727,1937155,1873817,1771780,1939486,1822193,1951366,1926883,1757794,1571019,1587790,1473100,1339286,1419579,1498561,1389244,1163950,1261000,1094912,1076150,1107227,1075878,1120981,1253386,1209883,1210200,1136505,1255321,1321873,1437341,1458874,1264880,1425507
Theodore Roosevelt,THRO,Midwest ,ND,591646,595734,702873,677014,415118,361139,377152,390553,424846,413527,459171,460718,468926,475937,475160,505349,460699,436081,393265,448286,431311,431813,446609,471551,490295,474589,493198,435359,456588,516804,586928,623748,563407,640555,545090,559580,580033,753880,708003,749389,691658
Virgin Islands,VIIS,Southeast ,VI,549732,547918,566528,673480,676800,666435,699398,766458,785354,838684,664032,664735,710180,772470,807093,635291,536058,475942,592537,556849,425345,703992,677401,693494,821681,793590,803040,677289,571382,469034,415847,493477,442414,483341,438601,426930,438372,411343,304408,112287,133398
Voyageurs,VOYA,Midwest ,MN,195277,266935,257490,143724,146454,154723,183984,172137,201727,223735,209626,223554,221857,227498,228143,224181,210938,246588,223418,231958,228898,227371,243374,238227,234231,249041,234577,231875,220650,221585,222429,253891,177184,214841,233390,239160,238313,241912,237250,239656,232974
White Sands,WHSA,Intermountain ,NM,580814,511476,556494,543581,492902,542930,486754,666879,567613,556185,568530,582487,588543,590371,611252,583061,604796,616699,629507,592957,553948,515229,518958,498964,492008,448185,450447,440927,437042,438511,471167,470921,428924,447385,490544,503660,497506,555793,612468,603008,608785
Wind Cave,WICA,Midwest ,SD,457443,473061,503424,467392,503739,536022,477585,483334,563720,578016,561758,586464,597057,660296,537075,871061,805688,781171,832033,849974,761717,668507,650357,810298,874167,593877,612478,591049,603158,573433,587868,577141,538394,529083,516142,547022,612198,617377,619924,656397,615350
Wrangell–St. Elias,WRST,Alaska,AK,,,,14871,18760,22183,23171,26557,29191,31046,33221,35976,38971,42229,45335,50146,54430,31467,31833,27859,29252,28331,28643,40352,43311,57221,56224,50336,61085,65693,59966,73170,65225,87158,69984,74722,80366,79047,68292,79450,74518
Yellowstone,YELL,Intermountain ,WY,1892908,2000269,2521831,2368897,2347242,2222027,2226159,2363756,2573194,2182113,2644442,2823572,2920537,3144405,2912193,3046145,3125285,3012171,2889513,3120830,3131381,2838233,2758526,2973677,3019375,2868317,2835651,2870295,3151343,3066580,3295187,3640185,3394326,3447729,3188030,3513484,4097710,4257177,4116524,4115000,4020288
Yosemite,YOSE,Pacific West ,CA,2350782,2490282,2516893,2415587,2457464,2738467,2831952,2876717,3152275,3216681,3308159,3124939,3423101,3819518,3839645,3962117,3958406,4046207,3669970,3657132,3493607,3400903,3368731,3361867,3378664,3280911,3304144,3242644,3503428,3431514,3737472,3901408,3951393,3853404,3691191,3882642,4150217,5028868,4336890,4009436,4422861
Zion,ZION,Intermountain ,UT,1040528,1123846,1288808,1246290,1273030,1377254,1503272,1670503,1777619,1948332,1998856,2102400,2236997,2390626,2392580,2270871,2430162,2498001,2445534,2370048,2449664,2432348,2217779,2592545,2458792,2677342,2586665,2567350,2657281,2690154,2735402,2665972,2825505,2973607,2807387,3189696,3648846,4295127,4504812,4320033,4488268
